timestamp,hour,day_of_week,month,is_weekend,is_holiday,temperature,cloud_cover,solar_irradiance,humidity,precipitation_prob,wind_speed,solar_generation,panel_temp,system_efficiency,battery_level,consumption,grid_ie,peak_flag,electricity_rate
2023-01-01 00:00:00,0,6,1,True,0,31.3,56,0,82,26,12,0.0,31.3,86,73,2.67,-2.67,0,8.5
2023-01-01 01:00:00,1,6,1,True,0,33.4,42,0,88,17,20,0.0,33.4,86,90,2.61,-2.61,0,8.5
2023-01-01 02:00:00,2,6,1,True,0,31.9,12,0,69,71,9,0.0,31.9,87,97,3.08,-3.08,0,8.5
2023-01-01 03:00:00,3,6,1,True,0,31.6,91,0,66,53,15,0.0,31.6,87,76,3.46,-3.46,0,8.5
2023-01-01 04:00:00,4,6,1,True,0,32.6,59,0,79,4,13,0.0,32.6,88,91,3.27,-3.27,0,8.5
2023-01-01 05:00:00,5,6,1,True,0,32.3,74,0,77,4,9,0.0,32.3,88,74,2.65,-2.65,0,8.5
2023-01-01 06:00:00,6,6,1,True,0,32.2,48,0,88,10,24,0.0,32.2,86,71,3.09,-3.09,0,8.5
2023-01-01 07:00:00,7,6,1,True,0,32.1,2,115,63,10,21,0.11,42.1,86,80,4.3,-4.19,0,8.5
2023-01-01 08:00:00,8,6,1,True,0,31.1,7,217,77,88,10,0.2,41.1,87,82,4.35,-4.15,0,8.5
2023-01-01 09:00:00,9,6,1,True,0,32.7,91,173,78,81,5,0.09,42.7,88,62,4.3,-4.21,0,8.5
2023-01-01 10:00:00,10,6,1,True,0,33.2,31,330,79,34,14,0.27,43.2,87,75,3.02,-2.75,0,8.5
2023-01-01 11:00:00,11,6,1,True,0,30.9,51,324,64,39,13,0.24,40.9,86,97,2.74,-2.5,0,8.5
2023-01-01 12:00:00,12,6,1,True,0,21.5,58,320,88,3,9,0.22,31.5,87,74,3.42,-3.19,0,8.5
2023-01-01 13:00:00,13,6,1,True,0,20.5,94,231,85,60,12,0.12,30.5,88,78,3.44,-3.32,0,8.5
2023-01-01 14:00:00,14,6,1,True,0,18.8,84,226,72,34,8,0.13,28.8,90,81,3.12,-3.0,0,8.5
2023-01-01 15:00:00,15,6,1,True,0,20.5,92,172,86,94,9,0.09,30.5,88,67,3.48,-3.38,0,8.5
2023-01-01 16:00:00,16,6,1,True,0,19.3,74,142,73,71,12,0.09,29.3,90,76,3.0,-2.91,0,8.5
2023-01-01 17:00:00,17,6,1,True,0,19.5,53,85,78,14,8,0.06,29.5,87,90,2.71,-2.65,0,8.5
2023-01-01 18:00:00,18,6,1,True,0,20.3,80,0,61,43,12,0.0,20.3,89,82,4.73,-4.73,1,12.5
2023-01-01 19:00:00,19,6,1,True,0,20.3,88,0,76,91,6,0.0,20.3,88,94,4.25,-4.25,1,12.5
2023-01-01 20:00:00,20,6,1,True,0,18.8,3,0,65,22,17,0.0,18.8,87,66,4.52,-4.52,1,12.5
2023-01-01 21:00:00,21,6,1,True,0,20.7,79,0,83,63,19,0.0,20.7,89,71,4.83,-4.83,1,12.5
2023-01-01 22:00:00,22,6,1,True,0,19.7,33,0,81,14,9,0.0,19.7,90,83,4.98,-4.98,1,12.5
2023-01-01 23:00:00,23,6,1,True,0,21.2,94,0,78,10,9,0.0,21.2,89,60,4.55,-4.55,0,8.5
2023-01-02 00:00:00,0,0,1,False,0,32.6,52,0,85,36,19,0.0,32.6,89,62,3.7,-3.7,0,8.5
2023-01-02 01:00:00,1,0,1,False,0,32.7,75,0,81,43,15,0.0,32.7,87,87,3.02,-3.02,0,8.5
2023-01-02 02:00:00,2,0,1,False,0,31.1,23,0,70,88,20,0.0,31.1,85,77,3.31,-3.31,0,8.5
2023-01-02 03:00:00,3,0,1,False,0,33.2,2,0,82,79,21,0.0,33.2,87,85,3.48,-3.48,0,8.5
2023-01-02 04:00:00,4,0,1,False,0,31.9,42,0,86,9,16,0.0,31.9,88,95,3.59,-3.59,0,8.5
2023-01-02 05:00:00,5,0,1,False,0,31.1,67,0,84,99,6,0.0,31.1,89,63,3.25,-3.25,0,8.5
2023-01-02 06:00:00,6,0,1,False,0,32.0,57,0,90,28,12,0.0,32.0,86,69,3.62,-3.62,0,8.5
2023-01-02 07:00:00,7,0,1,False,0,31.5,91,63,86,86,11,0.03,41.5,90,68,4.55,-4.51,0,8.5
2023-01-02 08:00:00,8,0,1,False,0,33.0,78,137,87,18,11,0.08,43.0,89,80,5.04,-4.96,0,8.5
2023-01-02 09:00:00,9,0,1,False,0,32.5,65,215,74,25,7,0.14,42.5,86,87,5.36,-5.22,0,8.5
2023-01-02 10:00:00,10,0,1,False,0,32.3,87,220,82,33,20,0.12,42.3,88,87,3.9,-3.78,0,8.5
2023-01-02 11:00:00,11,0,1,False,0,31.0,30,370,70,53,8,0.31,41.0,89,60,3.53,-3.22,0,8.5
2023-01-02 12:00:00,12,0,1,False,0,19.6,95,236,79,89,24,0.12,29.6,85,69,3.63,-3.51,0,8.5
2023-01-02 13:00:00,13,0,1,False,0,19.7,45,337,87,64,17,0.26,29.7,87,85,3.27,-3.02,0,8.5
2023-01-02 14:00:00,14,0,1,False,0,19.4,72,250,63,92,21,0.16,29.4,89,80,3.76,-3.61,0,8.5
2023-01-02 15:00:00,15,0,1,False,0,19.8,40,254,88,19,13,0.2,29.8,88,92,3.56,-3.36,0,8.5
2023-01-02 16:00:00,16,0,1,False,0,20.8,27,195,74,98,14,0.17,30.8,89,90,3.84,-3.68,0,8.5
